No,Date,Invoice,BarCode,Description,Unit,Q'tity,Price,Promotion,Total
46,7/14/12,HBL/TT/08/07/12_00011,KS0082,GRATER W.PLASTIC CONTAINER,PC,2,"29,000",0,"58,000"
47,7/14/12,HBL/TT/08/07/12_00011,TM0198,BATH TUB SPLASHER ASST,PC,1,"29,000",0,"29,000"
48,7/14/12,HBL/TT/08/07/12_00011,TB0116,MINI WATER GUNS 4pk,PC,1,"29,000",0,"29,000"
49,7/14/12,HBL/TT/08/07/12_00012,TM0370,4in1 LINEUP GAME MINI -PDQ,PC,1,"29,000",0,"29,000"
50,7/14/12,HBL/TT/08/07/12_00012,DH0051,SCENTED DRAWER SACHET LARGE,PC,1,"12,000",0,"12,000"
51,7/14/12,HBL/TT/08/07/12_00012,AH0278,HAIR ELASTICS TUB 27pc 5asst,PACK,1,"22,000",0,"22,000"
52,7/14/12,HBL/TT/08/07/12_00013,AG0013,TWEEZERS SLANT ST.STEEL,SET,1,"10,000",0,"10,000"
53,7/14/12,HBL/TT/08/07/12_00013,AE0049,READER BRIGHT COL W/PU CASE,SET,1,"35,000",0,"35,000"
54,7/14/12,HBL/TT/08/07/12_00013,AG0004,EMERY BOARDS 24PC COLOURED,PACK,1,"15,000",0,"15,000"
55,7/14/12,HBL/TT/08/07/12_00013,EA0287,MULTI-MEDIA HEADSET DLX W/MIC,PACK,1,"129,000",0,"129,000"
56,7/14/12,HBL/TT/08/07/12_00013,UN05723,P/S TOOTHPASTE JARES HB P0310 60x160g,Hép,2,"13,000",0,"26,000"
57,7/14/12,HBL/TT/08/07/12_00013,UN07833,P/S TOOTHPASTE COMPLETE 8 60x150g,Hép,2,"15,000",0,"30,000"
58,7/14/12,HBL/TT/08/07/12_00013,UN34801,HAZELINE BODY LOTION SPLSS UV 8X3X150ML,Chai,1,"22,000",0,"22,000"
59,7/14/12,HBL/TT/08/07/12_00013,un34926,SUNSILK SHAMPOO,,1,"20,000",0,"20,000"
60,7/14/12,HBL/TT/08/07/12_00013,UN45762,SUNLIGHT HDW STD LIQ GTEA R0310 15x800g,Chai,1,"18,000",0,"18,000"
61,7/14/12,HBL/TT/08/07/12_00013,UN46110,CLEAR SHAMPOO,,1,"12,000",0,"12,000"
62,7/14/12,HBL/TT/08/07/12_00013,SE0208,TWISTER COL-PENCILS 8pk,PACK,1,"35,000",0,"35,000"
63,7/14/12,HBL/TT/08/07/12_00014,SF0023,BIZ CARD HOLDER 96 PKT 19x11cm,PC,1,"38,000",0,"38,000"
64,7/14/12,HBL/TT/08/07/12_00014,SE0014,GEL PEN RED/BLK/BLU/GRN PK 6,PACK,1,"25,000",0,"25,000"
65,7/14/12,HBL/TT/08/07/12_00014,SL0039,STICK IT NOTES 3pk 75mm -3x80,PACK,1,"25,000",0,"25,000"
66,7/14/12,HBL/TT/08/07/12_00014,SG0009,GLUE STICKS 21 GM PK 3,PACK,1,"19,000",0,"19,000"
67,7/14/12,HBL/TT/08/07/12_00014,KT0011,CUTLERY SET W/TRAY 48 PC,SET,1,"249,000",0,"249,000"
68,7/14/12,HBL/TT/08/07/12_00014,RG0068,9 LED ALUMINIUM TORCH,PC,1,"39,000",0,"39,000"
69,7/14/12,HBL/TT/08/07/12_00014,RM0005,WET/TRAVEL PACK NYL.LADIES,PC,1,"49,000",0,"49,000"
70,7/14/12,HBL/TT/08/07/12_00014,RM0005,WET/TRAVEL PACK NYL.LADIES,PC,1,"49,000",0,"49,000"
71,7/14/12,HBL/TT/08/07/12_00014,SB0322,MESH PENCIL CASE COL TINT,PC,1,"15,000",0,"15,000"
72,7/14/12,HBL/TT/08/07/12_00014,HB0168,CAR AIR FRESHENER SNEAKER,PC,2,"28,000",0,"56,000"
73,7/14/12,HBL/TT/08/07/12_00014,HY0020,CONTACT CEMENT-60GM,PC,1,"20,000",0,"20,000"
74,7/14/12,HBL/TT/08/07/12_00014,IB0081,LITHIUM CELL BATTERY MIX 8pk,PACK,1,"26,000",0,"26,000"
75,7/14/12,HBL/TT/08/07/12_00014,KA0110,EGG WHISKS WIRE 26cm / 20cm,SET,1,"25,000",0,"25,000"
76,7/14/12,HBL/TT/08/07/12_00014,KA0015,KNIFE SET EURO STYLE W/BOARD,SET,1,"89,000",0,"89,000"
77,7/14/12,HBL/TT/08/07/12_00014,AT0010,TOOTH BRUSHES PLASTIC CUP 12pk,SET,1,"39,000",0,"39,000"
78,7/14/12,HBL/TT/08/07/12_00014,BA0213,TWIST FRESH 3pk GEL TUBS,PACK,2,"24,000",0,"48,000"
79,7/14/12,HBL/TT/08/07/12_00014,BB0028,NOODLE DUST BRUSH ASST COL,PC,1,"20,000",0,"20,000"
80,7/14/12,HBL/TT/08/07/12_00014,BH0011,MIRROR OVAL DBL SIDE ON STAND,PC,1,"39,000",0,"39,000"
81,7/14/12,HBL/TT/08/07/12_00014,BC0085,STRAWS FLEXI NEON 21x0.5 225pc,PACK,1,"24,000",0,"24,000"
82,7/14/12,HBL/TT/08/07/12_00014,BL0128,MAGIC CLOTHES BRUSH,PC,1,"28,000",0,"28,000"
83,7/14/12,HBL/TT/08/07/12_00015,BC0121,M-FIBRE CLOTHS 30cm 4pk 220gsm,PACK,1,"35,000",0,"35,000"
84,7/14/12,HBL/TT/08/07/12_00015,BA0148,SCENTED FLOWER FRESHENER 100ml,PC,1,"39,000",0,"39,000"
85,7/14/12,HBL/TT/08/07/12_00015,BC0013,ALL PURPOSE HOUSE WIPES PK10,SET,1,"20,000",0,"20,000"
86,7/14/12,HBL/TT/08/07/12_00015,AH0076,HAIR BANDS TPU ASST COL ,PACK,1,"13,000",0,"13,000"
87,7/14/12,HBL/TT/08/07/12_00015,KA0040,KITCHEN KNIFE/PEELER SET 4PC,SET,1,"29,000",0,"29,000"
88,7/14/12,HBL/TT/08/07/12_00015,KA0085,WOOD SPOONS 5pk 3x25cm/2x30cm,SET,1,"29,000",0,"29,000"
89,7/14/12,HBL/TT/08/07/12_00015,KA0126,TONGS 18cm ST/STL SILCON HDS,SET,1,"17,000",0,"17,000"
90,7/14/12,HBL/TT/08/07/12_00015,KS0043,SPLATTER LID W/KNOB BLK MESH ,PC,1,"38,000",0,"38,000"
91,7/14/12,HBL/TT/08/07/12_00015,EA0287,MULTI-MEDIA HEADSET DLX W/MIC,PACK,1,"129,000",0,"129,000"
92,7/14/12,HBL/TT/08/07/12_00015,UN46110,CLEAR SHAMPOO,,2,"12,000",0,"24,000"
93,7/14/12,HBL/TT/08/07/12_00015,un34926,SUNSILK SHAMPOO,,2,"20,000",0,"40,000"
94,7/14/12,HBL/TT/08/07/12_00015,UN07833,P/S TOOTHPASTE COMPLETE 8 60x150g,Hép,1,"15,000",0,"15,000"
95,7/14/12,HBL/TT/08/07/12_00015,UN07833,P/S TOOTHPASTE COMPLETE 8 60x150g,Hép,1,"15,000",0,"15,000"
96,7/14/12,HBL/TT/08/07/12_00016,UN07833,P/S TOOTHPASTE COMPLETE 8 60x150g,Hép,1,"15,000",0,"15,000"
97,7/14/12,HBL/TT/08/07/12_00016,UN36708,LIFEBUOY PW BAR CARE (ID-AW) 24x6x70g,Côc,3,"3,500",0,"10,500"
98,7/14/12,HBL/TT/08/07/12_00016,US0062,STORAGE CRATE KD NON WOVEN,PC,1,"39,000",0,"39,000"
99,7/14/12,HBL/TT/08/07/12_00016,KA0091,NYLON KITCH UTENSILS 4-ON-RACK,SET,1,"39,000",0,"39,000"
100,7/14/12,HBL/TT/08/07/12_00016,AG0223,BATH BALL BRUSH PLASTIC HANDLE,PC,1,"15,000",0,"15,000"
101,7/14/12,HBL/TT/08/07/12_00016,AG0025,PEDICURE SET 2PC,SET,1,"19,000",0,"19,000"
102,7/14/12,HBL/TT/08/07/12_00016,BA0148,SCENTED FLOWER FRESHENER 100ml,PC,1,"39,000",0,"39,000"
103,7/14/12,HBL/TT/08/07/12_00016,CS0037,COMFY SOCKS STRIPED NON-SLIP,PAIR,1,"19,000",0,"19,000"
104,7/14/12,HBL/TT/08/07/12_00017,AE0052,READING GLASSES CLEAR CASE,SET,1,"45,000",0,"45,000"
105,7/14/12,HBL/TT/08/07/12_00017,un34926,SUNSILK SHAMPOO,,6,"20,000","12,000","108,000"
106,7/14/12,HBL/TT/08/07/12_00017,QK0009,PAPER MACHE MASKS 4ASST,PC,1,"29,000",0,"29,000"
107,7/14/12,HBL/TT/08/07/12_00018,UN44758,LIFEBUOY PW BAR TOTL (ID) 144x70g,Côc,5,"3,500",0,"17,500"
108,7/14/12,HBL/TT/08/07/12_00018,AG0385,MENS ULTRAMAX RAZORS 3 BLD 4pc,PACK,1,"23,000",0,"23,000"
109,7/14/12,HBL/TT/08/07/12_00018,KA0091,NYLON KITCH UTENSILS 4-ON-RACK,SET,1,"39,000",0,"39,000"
110,7/14/12,HBL/TT/08/07/12_00018,KD0020,PORC.COFFEE MUG WHITE 285ml,PC,1,"20,000",0,"20,000"
111,7/14/12,HBL/TT/08/07/12_00018,HG0038,BICYCLE CABLE LOCK 80CM,PCS,1,"39,000",0,"39,000"
112,7/14/12,HBL/TT/08/07/12_00018,HT0002,SCREWDRIVER SET 6PC,SET,1,"59,000",0,"59,000"
113,7/14/12,HBL/TT/08/07/12_00019,KD0013,COFFEE MUG PORC.BULLET 450ml,EACH,2,"29,000",0,"58,000"
114,7/14/12,HBL/TT/08/07/12_00019,KS0098,LUNCH BOTTLE POP-TOP BOY/GIRL,PC,1,"20,000",0,"20,000"
115,7/14/12,HBL/TT/08/07/12_00019,KC0019,SILICON BAKE MAT 40.5x28.5cm,PC,1,"49,000",0,"49,000"
116,7/14/12,HBL/TT/08/07/12_00019,KA0066,KITCHEN TOOL CHROME/BLACK 5AST,PC,1,"33,000",0,"33,000"
117,7/14/12,HBL/TT/08/07/12_00019,TN0004,PLUSH BEARS DISP BOX 15CM,PC,1,"39,000",0,"39,000"
118,7/14/12,HBL/TT/08/07/12_00019,QK0009,PAPER MACHE MASKS 4ASST,PC,1,"29,000",0,"29,000"
119,7/14/12,HBL/TT/08/07/12_00019,RG0102,MINI DYNAMO WINDUP FLASHTORCH,PC,1,"59,000",0,"59,000"
120,7/14/12,HBL/TT/08/07/12_00019,KT0079,SALAD BOWL CLEAR PS 28.5cm,PC,1,"29,000",0,"29,000"
121,7/14/12,HBL/TT/08/07/12_00019,KS0139,KEEP FRESH CRISP BOX MANGO M,PC,1,"29,000",0,"29,000"
122,7/14/12,HBL/TT/08/07/12_00019,KT0106,KIDS PLACEMATS ANIMAL DES.4pk,PACK,1,"25,000",0,"25,000"
123,7/14/12,HBL/TT/08/07/12_00019,SP0009,NOTE BOOK SPIRAL PP COVER A7,PC,1,"7,000",0,"7,000"
